Book,Line,Word,Text,Length,Foot
21,1,1,ἀλλ’,long,1
21,1,2,ὅ,short,1
21,1,2,τε,short,1
21,1,3,δὴ,long,2
21,1,4,πό,short,2
21,1,4,ρον,short,2
21,1,5,ἷ,long,3
21,1,5,ξον,short,3
21,1,6,ἐ,short,3
21,1,6,ϋρ,long,4
21,1,6,ρεῖ,long,4
21,1,6,ος,long,5
21,1,7,πο,short,5
21,1,7,τα,short,5
21,1,7,μοῖ,long,6
21,1,7,ο,long,6
21,2,1,Ξάν,long,1
21,2,1,θου,long,1
21,2,2,δι,long,2
21,2,2,νή,long,2
21,2,2,εν,long,3
21,2,2,"τος,",short,3
21,2,3,ὃν,short,3
21,2,4,ἀ,long,4
21,2,4,θά,short,4
21,2,4,να,short,4
21,2,4,τος,long,5
21,2,5,τέ,short,5
21,2,5,κε,short,5
21,2,5,το,long,6
21,2,6,"Ζεύς,",long,6
21,3,1,ἔν,long,1
21,3,1,θα,short,1
21,3,2,δι,short,1
21,3,2,ατ,long,2
21,3,2,μή,long,2
21,3,2,ξας,long,3
21,3,3,τοὺς,long,3
21,3,4,μὲν,long,4
21,3,5,πε,short,4
21,3,5,δί,short,4
21,3,5,ον,long,5
21,3,6,δὲ,short,5
21,3,7,δί,short,5
21,3,7,ω,long,6
21,3,7,κε,long,6
21,4,1,πρὸς,long,1
21,4,2,πό,short,1
21,4,2,"λιν,",short,1
21,4,3,ᾗ,long,2
21,4,4,περ,short,2
21,4,5,Ἀ,short,2
21,4,5,χαι,long,3
21,4,5,οὶ,short,3
21,4,6,ἀ,short,3
21,4,6,τυ,long,4
21,4,6,ζό,short,4
21,4,6,με,short,4
21,4,6,νοι,long,5
21,4,7,φο,short,5
21,4,7,βέ,short,5
21,4,7,ον,long,6
21,4,7,το,long,6
21,5,1,ἤ,long,1
21,5,1,μα,short,1
21,5,1,τι,short,1
21,5,2,τῷ,long,2
21,5,3,προ,short,2
21,5,3,τέ,short,2
21,5,3,"ρῳ,",long,3
21,5,4,ὅ,short,3
21,5,4,τε,short,3
21,5,5,μαί,long,4
21,5,5,νε,short,4
21,5,5,το,short,4
21,5,6,φαί,long,5
21,5,6,δι,short,5
21,5,6,μος,short,5
21,5,7,Ἕ,long,6
21,5,7,κτωρ·,long,6
21,6,1,τῇ,long,1
21,6,2,ῥ’οἵ,long,1
21,6,3,γε,long,2
21,6,4,προ,short,2
