Book,Line,Word,Text,Length,Foot
13,1,1,ὣς,long,1
13,1,2,ἔφ,short,1
13,1,2,"αθ’,",short,1
13,1,3,οἱ,long,2
13,1,4,δ’ἄρ,short,2
13,1,4,α,short,2
13,1,5,πάντ,long,3
13,1,5,ες,short,3
13,1,6,ἀκ,short,3
13,1,6,ὴν,long,4
13,1,7,ἐγ,short,4
13,1,7,έν,short,4
13,1,7,οντ,long,5
13,1,7,ο,short,5
13,1,8,σι,short,5
13,1,8,ωπ,long,6
13,1,8,"ῇ,",long,6
13,2,1,κηλ,long,1
13,2,1,ηθμ,long,1
13,2,1,ῷ,long,2
13,2,2,δ’ἔσχ,long,2
13,2,2,οντ,long,3
13,2,2,ο,short,3
13,2,3,κατ,short,3
13,2,3,ὰ,long,4
13,2,4,μέγ,short,4
13,2,4,αρ,short,4
13,2,4,α,long,5
13,2,5,σκι,short,5
13,2,5,ό,short,5
13,2,5,εντ,long,6
13,2,5,α.,long,6
13,3,1,τὸν,long,1
13,3,2,δ’αὖτ’,long,1
13,3,3,Ἀλκ,long,2
13,3,3,ίν,short,2
13,3,3,ο,short,2
13,3,3,ος,long,3
13,3,4,ἀπ,short,3
13,3,4,αμ,short,3
13,3,4,είβ,long,4
13,3,4,ετ,short,4
13,3,4,ο,short,4
13,3,5,φών,long,5
13,3,5,ησ,long,5
13,3,5,έν,long,6
13,3,6,τε·,long,6
13,4,1,ὦ,long,1
13,4,2,Ὀδ,short,1
13,4,2,υσ,short,1
13,4,2,"εῦ,",long,2
13,4,3,ἐπ,short,2
13,4,3,εὶ,short,2
13,4,4,ἵκ,long,3
13,4,4,ευ,short,3
13,4,5,ἐμ,short,3
13,4,5,ὸν,long,4
13,4,6,ποτ,short,4
13,4,6,ὶ,short,4
13,4,7,χαλκ,long,5
13,4,7,οβ,short,5
13,4,7,ατ,short,5
13,4,7,ὲς,long,6
13,4,8,"δῶ,",long,6
13,5,1,ὑψ,long,1
13,5,1,ερ,short,1
13,5,1,εφ,short,1
13,5,1,"ές,",long,2
13,5,2,τῶ,long,2
13,5,3,σ’οὔ,long,3
13,5,4,τι,short,3
13,5,5,παλ,short,3
13,5,5,ιμπλ,long,4
13,5,5,αγχθ,long,4
13,5,5,έντ,long,5
13,5,5,α,short,5
13,5,6,γ’ὀ,short,5
13,5,6,ΐ,long,6
13,5,6,ω,long,6
13,6,1,ἂψ,long,1
13,6,2,ἀπ,short,1
13,6,2,ον,short,1
13,6,2,οστ,long,2
13,6,2,ήσ,long,2
13,6,2,"ειν,",long,3
13,6,3,εἰ,long,3
13,6,4,καὶ,long,4
13,6,5,μάλ,short,4
13,6,5,α,short,4
13,6,6,πολλ,long,5
13,6,6,ὰ,short,5
13,6,7,πέπ,short,5
13,6,7,ονθ,long,6
13,6,7,ας.,long,6
13,7,1,ὑμ,long,1
13,7,1,έων,long,1
13,7,2,δ’ἀνδρ,long,2
13,7,2,ὶ,short,2
13,7,3,ἑκ,short,2
13,7,3,άστ,long,3
13,7,3,ῳ,short,3
13,7,4,ἐφ,short,3
13,7,4,ι,long,4
13,7,4,έμ,short,4
