Book,Line,Word,Text,Length,Foot
15,1,1,ἡ,long,1
15,1,2,δ’εἰς,long,1
15,1,3,εὐρ,long,2
15,1,3,ύχ,short,2
15,1,3,ορ,short,2
15,1,3,ον,long,3
15,1,4,Λακ,short,3
15,1,4,εδ,short,3
15,1,4,αίμ,long,4
15,1,4,ον,short,4
15,1,4,α,short,4
15,1,5,Παλλ,long,5
15,1,5,ὰς,short,5
15,1,6,Ἀθ,short,5
15,1,6,ήν,long,6
15,1,6,η,long,6
15,2,1,ᾤχ,long,1
15,2,1,"ετ’,",short,1
15,2,2,Ὀδ,short,1
15,2,2,υσσ,long,2
15,2,2,ῆ,long,2
15,2,2,ος,long,3
15,2,3,μεγ,short,3
15,2,3,αθ,short,3
15,2,3,ύμ,long,4
15,2,3,ου,long,4
15,2,4,φαίδ,long,5
15,2,4,ιμ,short,5
15,2,4,ον,short,5
15,2,5,υἱ,long,6
15,2,5,ὸν,long,6
15,3,1,νόστ,long,1
15,3,1,ου,short,1
15,3,2,ὑπ,short,1
15,3,2,ομν,long,2
15,3,2,ήσ,long,2
15,3,2,ουσ,long,3
15,3,2,α,short,3
15,3,3,καὶ,short,3
15,3,4,ὀτρ,long,4
15,3,4,υν,short,4
15,3,4,έ,short,4
15,3,4,ουσ,long,5
15,3,4,α,short,5
15,3,5,νέ,short,5
15,3,5,εσθ,long,6
15,3,5,αι.,long,6
15,4,1,εὗρ,long,1
15,4,1,ε,short,1
15,4,2,δὲ,short,1
15,4,3,Τηλ,long,2
15,4,3,έμ,short,2
15,4,3,αχ,short,2
15,4,3,ον,long,3
15,4,4,καὶ,long,3
15,4,5,Νέστ,long,4
15,4,5,ορ,short,4
15,4,5,ος,short,4
15,4,6,ἀγλ,long,5
15,4,6,α,short,5
15,4,6,ὸν,short,5
15,4,7,υἱ,long,6
15,4,7,ὸν,long,6
15,5,1,εὕδ,long,1
15,5,1,οντ’,long,1
15,5,2,ἐν,long,2
15,5,3,προδ,short,2
15,5,3,όμ,short,2
15,5,3,ῳ,long,3
15,5,4,Μεν,short,3
15,5,4,ελ,short,3
15,5,4,ά,long,4
15,5,4,ου,long,4
15,5,5,κυδ,long,5
15,5,5,αλ,short,5
15,5,5,ίμ,short,5
15,5,5,οι,long,6
15,5,5,"ο,",long,6
15,6,1,ἤτ,long,1
15,6,1,οι,long,1
15,6,2,Νεστ,long,2
15,6,2,ορ,short,2
15,6,2,ίδ,short,2
15,6,2,ην,long,3
15,6,3,μαλ,short,3
15,6,3,ακ,short,3
15,6,3,ῷ,long,4
15,6,4,δεδμ,long,4
15,6,4,ημ,long,5
15,6,4,έν,short,5
15,6,4,ον,short,5
15,6,5,ὕπν,long,6
15,6,5,ῳ·,long,6
15,7,1,Τηλ,long,1
15,7,1,έμ,short,1
15,7,1,αχ,short,1
15,7,1,ον,long,2
15,7,2,δ’οὐχ,long,2
15,7,3,ὕπν,long,3
15,7,3,ος,short,3
15,7,4,ἔχ,short,3
15,7,4,ε,long,4
15,7,5,γλυκ,short,4
15,7,5,"ύς,",short,4
15,7,6,ἀλλ’,long,5
15,7,7,ἐν,short,5
15,7,7,ὶ,short,5
15,7,8,θυμ,long,6
15,7,8,ῷ,long,6
15,8,1,νύκτ,long,1
15,8,1,α,short,1
15,8,2,δι’,short,1
15,8,3,ἀμβρ,long,2
15,8,3,οσ,short,2
15,8,3,ί,short,2
15,8,3,ην,long,3
15,8,4,μελ,short,3
15,8,4,εδ,short,3
15,8,4,ήμ,long,4
15,8,4,ατ,short,4
15,8,4,α,short,4
15,8,5,πατρ,long,5
15,8,5,ὸς,short,5
15,8,6,ἔγ,short,5
15,8,6,ειρ,long,6
15,8,6,εν.,long,6
15,9,1,ἀγχ,long,1
15,9,1,οῦ,long,1
15,9,2,δ’ἱστ,long,2
15,9,2,αμ,short,2
15,9,2,έν,short,2
15,9,2,η,long,3
15,9,3,προσ,short,3
15,9,3,έφ,short,3
15,9,3,η,long,4
15,9,4,γλαυκ,long,4
15,9,4,ῶπ,long,5
15,9,4,ις,short,5
15,9,5,Ἀθ,short,5
15,9,5,ήν,long,6
15,9,5,η·,long,6
15,10,1,Τηλ,long,1
15,10,1,έμ,short,1
15,10,1,"αχ’,",short,1
15,10,2,οὐκ,long,2
15,10,2,έτ,short,2
15,10,2,ι,short,2
15,10,3,καλ,long,3
15,10,3,ὰ,short,3
15,10,4,δόμ,short,3
15,10,4,ων,long,4
15,10,5,ἄπ,short,4
15,10,5,ο,short,4
15,10,6,τῆλ’,long,5
15,10,7,ἀλ,short,5
15,10,7,άλ,short,5
15,10,7,ησ,long,6
15,10,7,"αι,",long,6
15,11,1,κτήμ,long,1
15,11,1,ατ,short,1
15,11,1,ά,short,1
15,11,2,τε,long,2
