Book,Line,Word,Text,Length
14,1,1,Νέ,long
14,1,1,στο,short
14,1,1,ρα,short
14,1,2,δ’οὐκ,long
14,1,3,ἔ,short
14,1,3,λα,short
14,1,3,θεν,long
14,1,4,ἰ,short
14,1,4,α,short
14,1,4,χὴ,long
14,1,5,πί,long
14,1,5,νον,long
14,1,5,τά,short
14,1,6,περ,short
14,1,7,ἔμ,long
14,1,7,"πης,",long
14,2,1,ἀλλ’,long
14,2,2,Ἀσ,long
14,2,2,κλη,long
14,2,2,πι,short
14,2,2,ά,short
14,2,2,δην,long
14,2,3,ἔ,short
14,2,3,πε,short
14,2,3,α,long
14,2,4,πτε,short
14,2,4,ρό,short
14,2,4,εν,long
14,2,4,τα,short
14,2,5,προ,short
14,2,5,σηύ,long
14,2,5,δα·,long
14,3,1,φρά,long
14,3,1,ζε,short
14,3,1,ο,short
14,3,2,δῖ,long
14,3,2,ε,short
14,3,3,Μα,short
14,3,3,χᾶ,long
14,3,3,ον,short
14,3,4,ὅ,short
14,3,4,πως,long
14,3,5,ἔ,long
14,3,5,σται,long
14,3,6,τά,short
14,3,6,δε,short
14,3,7,ἔρ,long
14,3,7,γα·,long
14,4,1,μεί,long
14,4,1,ζων,long
14,4,2,δὴ,long
14,4,3,πα,short
14,4,3,ρὰ,short
14,4,4,νηυ,long
14,4,4,σὶ,short
14,4,5,βο,short
14,4,5,ὴ,long
14,4,6,θα,short
14,4,6,λε,short
14,4,6,ρῶν,long
14,4,7,αἰ,long
14,4,7,ζη,long
14,4,7,ῶν.,long
14,5,1,ἀλ,long
14,5,1,λὰ,short
14,5,2,σὺ,short
14,5,3,μὲν,long
14,5,4,νῦν,long
14,5,5,πῖ,long
14,5,5,νε,short
14,5,6,κα,short
14,5,6,θή,long
14,5,6,με,short
14,5,6,νος,short
14,5,7,αἴ,long
14,5,7,θο,short
14,5,7,πα,short
14,5,8,οἶ,long
14,5,8,νον,long
14,6,1,εἰς,long
14,6,2,ὅ,short
14,6,3,κε,short
14,6,4,θερ,long
14,6,4,μὰ,short
14,6,5,λο,short
14,6,5,ε,long
14,6,5,τρὰ,short
14,6,6,ἐ,short
14,6,6,ϋ,long
14,6,6,πλό,short
14,6,6,κα,short
14,6,6,μος,long
14,6,7,Ἑ,short
14,6,7,κα,short
14,6,7,μή,long
14,6,7,δη,long
14,7,1,θερ,long
14,7,1,μή,long
14,7,1,νῃ,long
14,7,2,καὶ,long
14,7,3,λού,long
14,7,3,σῃ,short
14,7,4,ἄ,short
14,7,4,πο,long
14,7,5,βρό,short
14,7,5,τον,short
14,7,6,αἱ,long
14,7,6,μα,short
14,7,6,τό,short
14,7,6,εν,long
14,7,6,τα·,long
14,8,1,αὐ,long
14,8,1,τὰρ,short
14,8,2,ἐ,short
14,8,2,γὼν,long
14,8,3,ἐλ,long
14,8,3,θὼν,long
14,8,4,τά,short
14,8,4,χα,short
14,8,5,εἴ,long
14,8,5,σο,short
14,8,5,μαι,short
14,8,6,ἐς,long
14,8,7,πε,short
14,8,7,ρι,short
14,8,7,ω,long
14,8,7,πήν.,long
14,9,1,ὣς,long
14,9,2,εἰ,long
