Book,Line,Word,Text,Length
18,1,1,ὣς,long
18,1,2,οἳ,long
18,1,3,μὲν,long
18,1,4,μά,long
18,1,4,ρνα,long
18,1,4,ντο,short
18,1,5,δέ,short
18,1,5,μας,long
18,1,6,πυ,short
18,1,6,ρὸς,short
18,1,7,αἰ,long
18,1,7,θο,short
18,1,7,μέ,short
18,1,7,νοι,long
18,1,7,"ο,",long
18,2,1,Ἀ,long
18,2,1,ντί,short
18,2,1,λο,short
18,2,1,χος,long
18,2,2,δ’Ἀ,short
18,2,2,χι,short
18,2,2,λῆ,long
18,2,2,ϊ,short
18,2,3,πό,short
18,2,3,δας,long
18,2,4,τα,short
18,2,4,χὺς,short
18,2,5,ἄ,long
18,2,5,γγε,short
18,2,5,λος,short
18,2,6,ἦ,long
18,2,6,λθε.,long
18,3,1,τὸν,long
18,3,2,δ’εὗ,long
18,3,2,ρε,long
18,3,3,προ,short
18,3,3,πά,short
18,3,3,ροι,long
18,3,3,θε,short
18,3,4,νε,short
18,3,4,ῶν,long
18,3,5,ὀ,long
18,3,5,ρθο,long
18,3,5,κραι,long
18,3,5,ρά,long
18,3,5,ων,long
18,4,1,τὰ,long
18,4,2,φρο,short
18,4,2,νέ,short
18,4,2,οντ’,long
18,4,3,ἀ,short
18,4,3,νὰ,short
18,4,4,θυ,long
18,4,4,μὸν,short
18,4,5,ἃ,short
18,4,6,δὴ,long
18,4,7,τε,short
18,4,7,τε,short
18,4,7,λε,long
18,4,7,σμέ,short
18,4,7,να,short
18,4,8,ἦ,long
18,4,8,εν·,long
18,5,1,ὀ,long
18,5,1,χθή,long
18,5,1,σας,long
18,5,2,δ’ἄ,short
18,5,2,ρα,short
18,5,3,εἶ,long
18,5,3,πε,short
18,5,4,πρὸς,short
18,5,5,ὃν,long
18,5,6,με,short
18,5,6,γα,short
18,5,6,λή,long
18,5,6,το,short
18,5,6,ρα,short
18,5,7,θυ,long
18,5,7,μόν·,long
18,6,1,ὤ,long
18,6,2,μοι,short
18,6,3,ἐ,short
18,6,3,"γώ,",long
18,6,4,τί,short
18,6,5,τ’ἄρ’,short
18,6,6,αὖ,long
18,6,6,τε,short
18,6,7,κά,short
18,6,7,ρη,long
18,6,8,κο,short
18,6,8,μό,short
18,6,8,ω,long
18,6,8,ντες,short
18,6,9,Ἀ,short
18,6,9,χαι,long
18,6,9,οὶ,long
18,7,1,νηυ,long
18,7,1,σὶν,short
18,7,2,ἔ,short
18,7,2,πι,long
18,7,3,κλο,short
18,7,3,νέ,short
18,7,3,ο,long
18,7,3,νται,short
18,7,4,ἀ,short
18,7,4,τυ,long
18,7,4,ζό,short
18,7,4,με,short
18,7,4,νοι,long
18,7,5,πε,short
18,7,5,δί,short
18,7,5,οι,long
18,7,5,ο;,long
18,8,1,μὴ,long
18,8,2,δή,long
18,8,3,μοι,long
18,8,4,τε,short
18,8,4,λέ,short
18,8,4,σω,long
18,8,4,σι,short
18,8,5,θε,short
18,8,5,οὶ,long
18,8,6,κα,short
18,8,6,κὰ,short
18,8,7,κή,long
18,8,7,δε,short
18,8,7,α,short
18,8,8,θυ,long
18,8,8,"μῷ,",long
18,9,1,ὥς,long
18,9,2,πο,short
18,9,2,τέ,short
18,9,3,μοι,long
18,9,4,μή,long
18,9,4,τηρ,long
18,9,5,δι,short
18,9,5,ε,short
18,9,5,πέ,long
18,9,5,φρα,short
18,9,5,δε,short
18,9,6,καί,long
18,9,7,μοι,short
18,9,8,ἔ,short
18,9,8,ει,long
18,9,8,πε,long
18,10,1,Μυ,long
18,10,1,ρμι,short
18,10,1,δό,short
18,10,1,νων,long
18,10,2,τὸν,short
18,10,3,ἄ,short
18,10,3,ρι,long
18,10,3,στον,short
18,10,4,ἔ,short
18,10,4,τι,long
18,10,5,ζώ,long
18,10,5,ο,long
18,10,5,ντος,short
18,10,6,ἐ,short
18,10,6,μεῖ,long
18,10,6,ο,long
18,11,1,χε,long
18,11,1,ρσὶν,short
18,11,2,ὕ,short
18,11,2,πο,long
18,11,3,Τρώ,long
18,11,3,ων,long
18,11,4,λεί,long
18,11,4,ψειν,long
18,11,5,φά,short
18,11,5,ος,short
18,11,6,ἠ,long
18,11,6,ε,short
18,11,6,λί,short
18,11,6,οι,long
18,11,6,ο.,long
18,12,1,ἦ,long
18,12,2,μά,short
18,12,2,λα,short
18,12,3,δὴ,long
18,12,4,τέ,long
18,12,4,θνη,long
18,12,4,κε,short
18,12,5,Με,short
18,12,5,νοι,long
18,12,5,τί,short
18,12,5,ου,short
18,12,6,ἄ,long
18,12,6,λκι,short
18,12,6,μος,short
18,12,7,υἱ,long
18,12,7,ὸς,long
18,13,1,σχέ,long
18,13,1,τλι,short
18,13,1,ος·,short
18,13,2,ἦ,long
18,13,3,τ’ἐ,short
18,13,3,κέ,short
18,13,3,λευ,long
18,13,3,ον,short
18,13,4,ἀ,short
18,13,4,πω,long
18,13,4,σά,short
18,13,4,με,short
18,13,4,νον,long
18,13,5,δήι,long
18,13,5,ον,long
18,13,6,πῦρ,long
18,14,1,ἂψ,long
18,14,2,ἐ,short
18,14,2,πὶ,short
18,14,3,νῆ,long
18,14,3,ας,short
18,14,4,ἴ,short
18,14,4,"μεν,",long
18,14,5,μηδ’,long
18,14,6,Ἕ,long
18,14,6,κτο,short
18,14,6,ρι,short
18,14,7,ἶ,long
18,14,7,φι,short
18,14,8,μά,short
18,14,8,χε,long
18,14,8,σθαι.,long
18,15,1,εἷ,long
18,15,1,ος,short
18,15,2,ὃ,short
18,15,3,ταῦθ’,long
18,15,4,ὥ,long
18,15,4,ρμαι,long
18,15,4,νε,short
18,15,5,κα,short
18,15,5,τὰ,long
18,15,6,φρέ,short
18,15,6,να,short
18,15,7,καὶ,long
18,15,8,κα,short
18,15,8,τὰ,short
18,15,9,θυ,long
18,15,9,"μόν,",long
18,16,1,τό,long
18,16,1,φρά,short
18,16,2,οἱ,short
18,16,3,ἐ,long
18,16,3,γγύ,short
18,16,3,θεν,short
18,16,4,ἦ,long
18,16,4,λθεν,short
18,16,5,ἀ,short
18,16,5,γαυ,long
18,16,5,οῦ,long
18,16,6,Νέ,long
18,16,6,στο,short
18,16,6,ρος,short
18,16,7,υἱ,long
18,16,7,ὸς,long
18,17,1,δά,long
18,17,1,κρυ,short
18,17,1,α,short
18,17,2,θε,long
18,17,2,ρμὰ,short
18,17,3,χέ,short
18,17,3,"ων,",long
18,17,4,φά,short
18,17,4,το,short
18,17,5,δ’ἀ,long
18,17,5,γγε,short
18,17,5,λί,short
18,17,5,ην,long
18,17,6,ἀ,short
18,17,6,λε,short
18,17,6,γει,long
18,17,6,νήν·,long
18,18,1,ὤ,long
18,18,2,μοι,long
18,18,3,Πη,long
18,18,3,λέ,short
18,18,3,ος,short
18,18,4,υἱ,long
18,18,4,ὲ,short
18,18,5,δα,short
18,18,5,ΐ,long
18,18,5,φρο,short
18,18,5,νος,short
18,18,6,ἦ,long
18,18,7,μά,short
18,18,7,λα,short
18,18,8,λυ,long
18,18,8,γρῆς,long
18,19,1,πεύ,long
18,19,1,σε,short
18,19,1,αι,short
18,19,2,ἀ,long
18,19,2,γγε,short
18,19,2,λί,short
18,19,2,"ης,",long
18,19,3,ἣ,long
18,19,4,μὴ,long
18,19,5,ὤ,long
18,19,5,φε,long
18,19,5,λλε,short
18,19,6,γε,short
18,19,6,νέ,long
18,19,6,σθαι.,long
18,20,1,κεῖ,long
18,20,1,ται,long
18,20,2,Πά,long
18,20,2,τρο,long
18,20,2,"κλος,",long
18,20,3,νέ,short
18,20,3,κυ,short
18,20,3,ος,long
18,20,4,δὲ,short
18,20,5,δὴ,short
18,20,6,ἀ,long
18,20,6,μφι,short
18,20,6,μά,short
18,20,6,χο,long
18,20,6,νται,long
18,21,1,γυ,long
18,21,1,μνοῦ·,short
18,21,2,ἀ,short
18,21,2,τὰρ,long
18,21,3,τά,short
18,21,4,γε,short
18,21,5,τεύ,long
18,21,5,χε’,short
18,21,6,ἔ,short
18,21,6,χει,long
18,21,7,κο,short
18,21,7,ρυ,short
18,21,7,θαί,long
18,21,7,ο,short
18,21,7,λος,short
18,21,8,Ἕ,long
18,21,8,κτωρ.,long
18,22,1,ὣς,long
18,22,2,φά,short
18,22,2,"το,",short
18,22,3,τὸν,long
18,22,4,δ’ἄ,short
18,22,4,χε,short
18,22,4,ος,long
18,22,5,νε,short
18,22,5,φέ,short
18,22,5,λη,long
18,22,6,ἐ,short
18,22,6,κά,short
18,22,6,λυ,long
18,22,6,ψε,short
18,22,7,μέ,short
18,22,7,λαι,long
18,22,7,να·,long
18,23,1,ἀ,long
18,23,1,μφο,short
18,23,1,τέ,short
18,23,1,ρῃ,long
18,23,1,σι,short
18,23,2,δὲ,short
18,23,3,χε,long
18,23,3,ρσὶν,short
18,23,4,ἑ,short
18,23,4,λὼν,long
18,23,5,κό,short
18,23,5,νιν,short
18,23,6,αἰ,long
18,23,6,θα,short
18,23,6,λό,short
18,23,6,ε,long
18,23,6,σσαν,long
18,24,1,χεύ,long
18,24,1,α,short
18,24,1,το,short
18,24,2,κὰκ,long
18,24,3,κε,short
18,24,3,φα,short
18,24,3,"λῆς,",long
18,24,4,χα,short
18,24,4,ρί,short
18,24,4,εν,long
18,24,5,δ’ᾔ,long
18,24,5,σχυ,long
18,24,5,νε,short
18,24,6,πρό,short
18,24,6,σω,long
18,24,6,πον·,long
18,25,1,νε,long
18,25,1,κτα,short
18,25,1,ρέ,short
18,25,1,ῳ,long
18,25,2,δὲ,short
18,25,3,χι,short
18,25,3,τῶ,long
18,25,3,νι,short
18,25,4,μέ,short
18,25,4,λαιν’,long
18,25,5,ἀ,long
18,25,5,μφί,long
18,25,5,ζα,short
18,25,5,νε,short
18,25,6,τέ,long
18,25,6,φρη.,long
18,26,1,αὐ,long
18,26,1,τὸς,long
18,26,2,δ’ἐν,long
18,26,3,κο,short
18,26,3,νί,short
18,26,3,ῃ,long
18,26,3,σι,short
18,26,4,μέ,short
18,26,4,γας,long
18,26,5,με,short
18,26,5,γα,short
18,26,5,λω,long
18,26,5,στὶ,short
18,26,6,τα,short
18,26,6,νυ,long
18,26,6,σθεὶς,long
18,27,1,κεῖ,long
18,27,1,"το,",short
18,27,2,φί,short
18,27,2,λῃ,long
18,27,2,σι,short
18,27,3,δὲ,short
18,27,4,χε,long
18,27,4,ρσὶ,short
18,27,5,κό,short
18,27,5,μην,long
18,27,6,ᾔ,long
18,27,6,σχυ,long
18,27,6,νε,short
18,27,7,δα,short
18,27,7,ΐ,long
18,27,7,ζων.,long
18,28,1,δμῳ,long
18,28,1,αὶ,long
18,28,2,δ’ἃς,long
18,28,3,Ἀ,short
18,28,3,χι,short
18,28,3,λεὺς,long
18,28,4,λη,long
18,28,4,ΐ,long
18,28,4,σσα,short
18,28,4,το,short
18,28,5,Πά,long
18,28,5,τρο,long
18,28,5,κλός,long
18,28,6,τε,long
18,29,1,θυ,long
18,29,1,μὸν,short
18,29,2,ἀ,short
18,29,2,κη,long
18,29,2,χέ,short
18,29,2,με,short
18,29,2,ναι,long
18,29,3,με,short
18,29,3,γάλ’,short
18,29,4,ἴ,long
18,29,4,α,short
18,29,4,"χον,",short
18,29,5,ἐκ,long
18,29,6,δὲ,short
18,29,7,θύ,short
18,29,7,ρα,long
18,29,7,ζε,long
18,30,1,ἔ,long
18,30,1,δρα,short
18,30,1,μον,short
18,30,2,ἀμφ’,long
18,30,3,Ἀ,short
18,30,3,χι,short
18,30,3,λῆ,long
18,30,3,α,short
18,30,4,δα,short
18,30,4,ΐ,long
18,30,4,φρο,short
18,30,4,"να,",short
18,30,5,χε,long
18,30,5,ρσὶ,short
18,30,6,δὲ,short
18,30,7,πᾶ,long
18,30,7,σαι,long
18,31,1,στή,long
18,31,1,θε,short
18,31,1,α,short
18,31,2,πε,long
18,31,2,πλή,long
18,31,2,γο,long
18,31,2,"ντο,",short
18,31,3,λύ,short
18,31,3,θεν,long
18,31,4,δ’ὑ,short
18,31,4,πὸ,short
