Book,Line,Word,Text,Length
19,1,1,αὐτ,long
19,1,1,ὰρ,short
19,1,2,ὁ,short
19,1,3,ἐν,long
19,1,4,μεγ,short
19,1,4,άρ,short
19,1,4,ῳ,long
19,1,5,ὑπ,short
19,1,5,ελ,short
19,1,5,είπ,long
19,1,5,ετ,short
19,1,5,ο,short
19,1,6,δῖ,long
19,1,6,ος,short
19,1,7,Ὀδ,short
19,1,7,υσσ,long
19,1,7,"εύς,",long
19,2,1,μνηστ,long
19,2,1,ήρ,long
19,2,1,εσσ,long
19,2,1,ι,short
19,2,2,φόν,short
19,2,2,ον,long
19,2,3,σὺν,short
19,2,4,Ἀθ,short
19,2,4,ήν,long
19,2,4,ῃ,long
19,2,5,μερμ,long
19,2,5,ηρ,long
19,2,5,ίζ,long
19,2,5,ων·,long
19,3,1,αἶψ,long
19,3,1,α,short
19,3,2,δὲ,short
19,3,3,Τηλ,long
19,3,3,έμ,short
19,3,3,αχ,short
19,3,3,ον,long
19,3,4,ἔπ,short
19,3,4,ε,short
19,3,4,α,long
19,3,5,πτερ,short
19,3,5,ό,short
19,3,5,εντ,long
19,3,5,α,short
19,3,6,προσ,short
19,3,6,ηύδ,long
19,3,6,α·,long
19,4,1,Τηλ,long
19,4,1,έμ,short
19,4,1,αχ,short
19,4,1,"ε,",long
19,4,2,χρὴ,long
19,4,3,τεύχ,long
19,4,3,ε’,short
19,4,4,ἀρ,short
19,4,4,ή,long
19,4,4,ϊ,short
19,4,4,α,short
19,4,5,κατθ,long
19,4,5,έμ,short
19,4,5,εν,short
19,4,6,εἴσ,long
19,4,6,ω,long
19,5,1,πάντ,long
19,5,1,α,short
19,5,2,μάλ’·,short
19,5,3,αὐτ,long
19,5,3,ὰρ,long
19,5,4,μνηστ,long
19,5,4,ῆρ,long
19,5,4,ας,long
19,5,5,μαλ,short
19,5,5,ακ,short
19,5,5,οῖς,long
19,5,6,ἐπ,short
19,5,6,έ,short
19,5,6,εσσ,long
19,5,6,ι,long
19,6,1,παρφ,long
19,6,1,άσθ,long
19,6,1,"αι,",long
