Book,Line,Word,Text,Length,Foot
18,1,1,ἦλθ,long,1
18,1,1,ε,short,1
18,1,2,δ’ἐπ,short,1
18,1,2,ὶ,long,2
18,1,3,πτωχ,long,2
18,1,3,ὸς,long,3
18,1,4,πανδ,long,3
18,1,4,ήμ,long,4
18,1,4,ι,short,4
18,1,4,"ος,",short,4
18,1,5,ὃς,long,5
18,1,6,κατ,short,5
18,1,6,ὰ,short,5
18,1,7,ἄστ,long,6
18,1,7,υ,long,6
18,2,1,πτωχ,long,1
18,2,1,εύ,long,1
18,2,1,εσκ’,long,2
18,2,2,Ἰθ,short,2
18,2,2,άκ,short,2
18,2,2,"ης,",long,3
18,2,3,μετ,short,3
18,2,3,ὰ,short,3
18,2,4,δ’ἔπρ,long,4
18,2,4,επ,short,4
18,2,4,ε,short,4
18,2,5,γαστ,long,5
18,2,5,έρ,short,5
18,2,5,ι,short,5
18,2,6,μάργ,long,6
18,2,6,ῃ,long,6
18,3,1,ἀζ,long,1
18,3,1,ηχ,long,1
18,3,1,ὲς,long,2
18,3,2,φαγ,short,2
18,3,2,έμ,short,2
18,3,2,εν,long,3
18,3,3,καὶ,long,3
18,3,4,πι,long,4
18,3,4,έμ,short,4
18,3,4,εν·,short,4
18,3,5,οὐδ,long,5
18,3,5,έ,short,5
18,3,6,οἱ,short,5
18,3,7,ἦν,long,6
18,3,8,ἲς,long,6
18,4,1,οὐδ,long,1
18,4,1,ὲ,short,1
18,4,2,βί,short,1
18,4,2,"η,",long,2
18,4,3,εἶδ,long,2
18,4,3,ος,long,3
18,4,4,δὲ,short,3
18,4,5,μάλ,short,3
18,4,5,α,long,4
18,4,6,μέγ,short,4
18,4,6,ας,short,4
18,4,7,ἦν,long,5
18,4,8,ὁρ,short,5
18,4,8,ά,short,5
18,4,8,ασθ,long,6
18,4,8,αι.,long,6
18,5,1,Ἀρν,long,1
18,5,1,αῖ,long,1
18,5,1,ος,long,2
18,5,2,δ’ὄν,short,2
18,5,2,ομ’,short,2
18,5,3,ἔσκ,long,3
18,5,3,ε·,short,3
18,5,4,τὸ,short,3
18,5,5,γὰρ,long,4
18,5,6,θέτ,short,4
18,5,6,ο,short,4
18,5,7,πότν,long,5
18,5,7,ι,short,5
18,5,7,α,short,5
18,5,8,μήτ,long,6
18,5,8,ηρ,long,6
18,6,1,ἐκ,long,1
18,6,2,γεν,short,1
18,6,2,ετ,short,1
18,6,2,ῆς·,long,2
18,6,3,Ἶρ,long,2
18,6,3,ον,long,3
18,6,4,δὲ,short,3
18,6,5,νέ,short,3
18,6,5,οι,long,4
18,6,6,κίκλ,long,4
18,6,6,ησκ,long,5
18,6,6,ον,short,5
18,6,7,ἅπ,short,5
18,6,7,αντ,long,6
18,6,7,"ες,",long,6
18,7,1,οὕν,long,1
18,7,1,εκ’,short,1
18,7,2,ἀπ,short,1
18,7,2,αγγ,long,2
18,7,2,έλλ,long,2
18,7,2,εσκ,long,3
18,7,2,ε,short,3
18,7,3,κι,short,3
18,7,3,"ών,",long,4
18,7,4,ὅτ,short,4
18,7,4,ε,short,4
18,7,5,πού,long,5
18,7,6,τις,short,5
18,7,7,ἀν,short,5
18,7,7,ώγ,long,6
18,7,7,οι·,long,6
18,8,1,ὅς,long,1
18,8,2,ῥ’ἐλθ,long,1
18,8,2,ὼν,long,2
18,8,3,Ὀδ,short,2
18,8,3,υσ,short,2
18,8,3,ῆ,long,3
18,8,3,α,short,3
18,8,4,δι,short,3
18,8,4,ώκ,long,4
18,8,4,ετ,short,4
18,8,4,ο,short,4
18,8,5,οἷ,long,5
18,8,5,ο,short,5
18,8,6,δόμ,short,5
18,8,6,οι,long,6
18,8,6,"ο,",long,6
18,9,1,καί,long,1
18,9,2,μιν,long,1
18,9,3,νεικ,long,2
18,9,3,εί,long,2
18,9,3,ων,long,3
18,9,4,ἔπ,short,3
18,9,4,ε,short,3
18,9,4,α,long,4
18,9,5,πτερ,short,4
18,9,5,ό,short,4
18,9,5,εντ,long,5
18,9,5,α,short,5
18,9,6,προσ,short,5
18,9,6,ηύδ,long,6
18,9,6,α·,long,6
18,10,1,εἶκ,long,1
18,10,1,"ε,",short,1
18,10,2,γέρ,short,1
18,10,2,"ον,",long,2
18,10,3,προθ,short,2
18,10,3,ύρ,short,2
18,10,3,"ου,",long,3
18,10,4,μὴ,long,3
18,10,5,δὴ,long,4
18,10,6,τάχ,short,4
18,10,6,α,short,4
18,10,7,καὶ,long,5
18,10,8,ποδ,short,5
18,10,8,ὸς,short,5
18,10,9,ἕλκ,long,6
18,10,9,ῃ.,long,6
18,11,1,οὐκ,long,1
18,11,2,ἀ,short,1
18,11,2,ΐ,short,1
18,11,2,εις,long,2
18,11,3,ὅτ,short,2
18,11,3,ι,short,2
18,11,4,δή,long,3
18,11,5,μοι,short,3
18,11,6,ἐπ,short,3
18,11,6,ιλλ,long,4
18,11,6,ίζ,long,4
18,11,6,ουσ,long,5
18,11,6,ιν,short,5
18,11,7,ἅπ,short,5
18,11,7,αντ,long,6
18,11,7,"ες,",long,6
18,12,1,ἑλκ,long,1
18,12,1,έμ,short,1
18,12,1,εν,short,1
18,12,1,αι,long,2
18,12,2,δὲ,short,2
18,12,3,κέλ,short,2
18,12,3,οντ,long,3
18,12,3,αι;,short,3
18,12,4,ἐγ,short,3
18,12,4,ὼ,long,4
18,12,5,δ’αἰσχ,long,4
18,12,5,ύν,long,5
18,12,5,ομ,short,5
18,12,5,αι,short,5
18,12,6,ἔμπ,long,6
18,12,6,ης.,long,6
18,13,1,ἀλλ’,long,1
18,13,2,ἄν,short,1
18,13,2,"α,",short,1
18,13,3,μὴ,long,2
18,13,4,τάχ,short,2
18,13,4,α,short,2
18,13,5,νῶ,long,3
18,13,5,ϊν,short,3
18,13,6,ἔρ,short,3
18,13,6,ις,long,4
18,13,7,καὶ,long,4
18,13,8,χερσ,long,5
18,13,8,ὶ,short,5
18,13,9,γέν,short,5
18,13,9,ητ,long,6
18,13,9,αι.,long,6
18,14,1,τὸν,long,1
18,14,2,δ’ἄρ’,short,1
18,14,3,ὑπ,short,1
18,14,3,όδρ,long,2
18,14,3,α,short,2
18,14,4,ἰδ,short,2
18,14,4,ὼν,long,3
18,14,5,προσ,short,3
18,14,5,έφ,short,3
18,14,5,η,long,4
18,14,6,πολ,short,4
18,14,6,ύμ,short,4
18,14,6,ητ,long,5
18,14,6,ις,short,5
18,14,7,Ὀδ,short,5
18,14,7,υσσ,long,6
18,14,7,εύς·,long,6
18,15,1,δαιμ,long,1
18,15,1,όν,short,1
18,15,1,"ι’,",short,1
18,15,2,οὔτ,long,2
18,15,2,ε,short,2
18,15,3,τί,short,2
18,15,4,σε,long,3
18,15,5,ῥέζ,long,3
18,15,5,ω,long,4
18,15,6,κακ,short,4
18,15,6,ὸν,short,4
18,15,7,οὔτ’,long,5
18,15,8,ἀγ,short,5
18,15,8,ορ,short,5
18,15,8,εύ,long,6
18,15,8,"ω,",long,6
18,16,1,οὔτ,long,1
18,16,1,ε,short,1
18,16,2,τιν,short,1
18,16,2,ὰ,long,2
18,16,3,φθον,short,2
18,16,3,έ,short,2
18,16,3,ω,long,3
18,16,4,δόμ,short,3
18,16,4,εν,short,3
18,16,4,αι,long,4
18,16,5,καὶ,long,4
18,16,6,πόλλ’,long,5
18,16,7,ἀν,short,5
18,16,7,ελ,short,5
18,16,7,όντ,long,6
18,16,7,α.,long,6
18,17,1,οὐδ,long,1
18,17,1,ὸς,long,1
18,17,2,δ’ἀμφ,long,2
18,17,2,οτ,short,2
18,17,2,έρ,short,2
18,17,2,ους,long,3
18,17,3,ὅδ,short,3
18,17,3,ε,short,3
18,17,4,χείσ,long,4
18,17,4,ετ,short,4
18,17,4,"αι,",short,4
18,17,5,οὐδ,long,5
18,17,5,έ,short,5
18,17,6,τί,short,5
18,17,7,σε,long,6
18,17,8,χρὴ,long,6
18,18,1,ἀλλ,long,1
18,18,1,οτρ,short,1
18,18,1,ί,short,1
18,18,1,ων,long,2
18,18,2,φθον,short,2
18,18,2,έ,short,2
18,18,2,ειν·,long,3
18,18,3,δοκ,short,3
18,18,3,έ,short,3
18,18,3,εις,long,4
18,18,4,δέ,short,4
18,18,5,μοι,short,4
18,18,6,εἶν,long,5
18,18,6,αι,short,5
18,18,7,ἀλ,short,5
18,18,7,ήτ,long,6
18,18,7,ης,long,6
18,19,1,ὥς,long,1
18,19,2,περ,short,1
18,19,3,ἐγ,short,1
18,19,3,"ών,",long,2
18,19,4,ὄλβ,long,2
18,19,4,ον,long,3
18,19,5,δὲ,short,3
18,19,6,θε,short,3
18,19,6,οὶ,long,4
18,19,7,μέλλ,long,4
18,19,7,ουσ,long,5
18,19,7,ιν,short,5
18,19,8,ὀπ,short,5
18,19,8,άζ,long,6
18,19,8,ειν.,long,6
18,20,1,χερσ,long,1
18,20,1,ὶ,short,1
18,20,2,δὲ,short,1
18,20,3,μή,long,2
18,20,4,τι,short,2
18,20,5,λί,short,2
18,20,5,ην,long,3
18,20,6,προκ,short,3
18,20,6,αλ,short,3
18,20,6,ίζ,long,4
18,20,6,ε,short,4
18,20,6,"ο,",short,4
18,20,7,μή,long,5
18,20,8,με,short,5
18,20,9,χολ,short,5
18,20,9,ώσ,long,6
18,20,9,"ῃς,",long,6
18,21,1,μή,long,1
18,21,2,σε,short,1
18,21,3,γέρ,short,1
18,21,3,ων,long,2
18,21,4,περ,short,2
18,21,5,ἐ,short,2
18,21,5,ὼν,long,3
18,21,6,στῆθ,long,3
18,21,6,ος,long,4
18,21,7,καὶ,long,4
18,21,8,χείλ,long,5
18,21,8,ε,short,5
18,21,8,α,short,5
18,21,9,φύρσ,long,6
18,21,9,ω,long,6
18,22,1,αἵμ,long,1
18,22,1,ατ,short,1
18,22,1,ος·,short,1
18,22,2,ἡσ,long,2
18,22,2,υχ,short,2
18,22,2,ί,short,2
18,22,2,η,long,3
18,22,3,δ’ἂν,short,3
18,22,4,ἐμ,short,3
18,22,4,οὶ,long,4
18,22,5,καὶ,long,4
18,22,6,μᾶλλ,long,5
18,22,6,ον,short,5
18,22,7,ἔτ’,short,5
18,22,8,εἴ,long,6
18,22,8,η,long,6
18,23,1,αὔρ,long,1
18,23,1,ι,short,1
18,23,1,ον·,short,1
18,23,2,οὐ,long,2
18,23,3,μὲν,long,2
18,23,4,γάρ,long,3
18,23,5,τί,short,3
18,23,6,σ’ὑπ,short,3
18,23,6,οστρ,long,4
18,23,6,έψ,long,4
18,23,6,εσθ,long,5
18,23,6,αι,short,5
18,23,7,ὀ,short,5
18,23,7,ΐ,long,6
18,23,7,ω,long,6
18,24,1,δεύτ,long,1
18,24,1,ερ,short,1
18,24,1,ον,short,1
18,24,2,ἐς,long,2
18,24,3,μέγ,short,2
18,24,3,αρ,short,2
18,24,3,ον,long,3
18,24,4,Λα,long,3
18,24,4,ερτ,long,4
18,24,4,ι,short,4
18,24,4,άδ,short,4
18,24,4,εω,long,5
18,24,5,Ὀδ,short,5
18,24,5,υσ,short,5
18,24,5,ῆ,long,6
18,24,5,ος.,long,6
18,25,1,τὸν,long,1
18,25,2,δὲ,short,1
18,25,3,χολ,short,1
18,25,3,ωσ,long,2
18,25,3,άμ,short,2
18,25,3,εν,short,2
18,25,3,ος,long,3
18,25,4,προσ,short,3
18,25,4,εφ,short,3
18,25,4,ών,long,4
18,25,4,ε,short,4
18,25,4,εν,short,4
18,25,5,Ἶρ,long,5
18,25,5,ος,short,5
18,25,6,ἀλ,short,5
18,25,6,ήτ,long,6
18,25,6,ης·,long,6
18,26,1,ὢ,long,1
18,26,2,πόπ,short,1
18,26,2,"οι,",short,1
18,26,3,ὡς,long,2
18,26,4,ὁ,short,2
18,26,5,μολ,short,2
18,26,5,οβρ,long,3
18,26,5,ὸς,short,3
18,26,6,ἐπ,short,3
18,26,6,ιτρ,long,4
18,26,6,οχ,short,4
18,26,6,άδ,short,4
18,26,6,ην,long,5
18,26,7,ἀγ,short,5
18,26,7,ορ,short,5
18,26,7,εύ,long,6
18,26,7,"ει,",long,6
18,27,1,γρη,long,1
18,27,1,ῒ,short,1
18,27,2,καμ,short,1
18,27,2,ιν,long,2
18,27,2,οῖ,long,2
18,27,3,ἶσ,long,3
18,27,3,ος·,short,3
18,27,4,ὃν,short,3
18,27,5,ἂν,long,4
18,27,6,κακ,short,4
18,27,6,ὰ,short,4
18,27,7,μητ,long,5
18,27,7,ισ,long,5
18,27,7,αίμ,long,6
18,27,7,ην,long,6
18,28,1,κόπτ,long,1
18,28,1,ων,long,1
18,28,2,ἀμφ,long,2
18,28,2,οτ,short,2
18,28,2,έρ,short,2
18,28,2,ῃσ,long,3
18,28,2,"ι,",short,3
18,28,3,χαμ,short,3
18,28,3,αὶ,long,4
18,28,4,δ’ἐκ,long,4
18,28,5,πάντ,long,5
18,28,5,ας,short,5
18,28,6,ὀδ,short,5
18,28,6,όντ,long,6
18,28,6,ας,long,6
18,29,1,γναθμ,long,1
18,29,1,ῶν,long,1
18,29,2,ἐξ,long,2
18,29,2,ελ,short,2
18,29,2,άσ,short,2
18,29,2,αιμ,long,3
18,29,2,ι,short,3
18,29,3,συ,short,3
18,29,3,ὸς,long,4
18,29,4,ὣς,long,4
18,29,5,λη,long,5
18,29,5,ϊβ,short,5
18,29,5,οτ,short,5
18,29,5,είρ,long,6
18,29,5,ης.,long,6
18,30,1,ζῶσ,long,1
18,30,1,αι,long,1
18,30,2,"νῦν,",long,2
18,30,3,ἵν,short,2
18,30,3,α,short,2
18,30,4,πάντ,long,3
18,30,4,ες,short,3
18,30,5,ἐπ,short,3
18,30,5,ιγν,long,4
18,30,5,ώ,long,4
18,30,5,ωσ,long,5
18,30,5,ι,short,5
18,30,6,καὶ,short,5
18,30,7,οἵδ,long,6
18,30,7,ε,long,6
18,31,1,μαρν,long,1
18,31,1,αμ,short,1
18,31,1,έν,short,1
18,31,1,ους·,long,2
18,31,2,πῶς,long,2
18,31,3,δ’ἂν,long,3
18,31,4,σὺ,short,3
18,31,5,νε,short,3
18,31,5,ωτ,long,4
18,31,5,έρ,short,4
18,31,5,ῳ,short,4
18,31,6,ἀνδρ,long,5
18,31,6,ὶ,short,5
18,31,7,μάχ,short,5
18,31,7,οι,long,6
18,31,7,ο;,long,6
18,32,1,ὣς,long,1
18,32,2,οἱ,long,1
18,32,3,μὲν,long,2
18,32,4,προπ,short,2
18,32,4,άρ,short,2
18,32,4,οιθ,long,3
18,32,4,ε,short,3
18,32,5,θυρ,short,3
18,32,5,ά,long,4
18,32,5,ων,long,4
18,32,6,ὑψ,long,5
18,32,6,ηλ,long,5
18,32,6,ά,long,6
18,32,6,ων,long,6
18,33,1,οὐδ,long,1
18,33,1,οῦ,short,1
18,33,2,ἔπ,short,1
18,33,2,ι,long,2
18,33,3,ξεστ,long,2
18,33,3,οῦ,long,3
18,33,4,πανθ,long,3
18,33,4,υμ,long,4
18,33,4,αδ,short,4
18,33,4,ὸν,short,4
18,33,5,ὀκρ,long,5
18,33,5,ι,short,5
18,33,5,ό,short,5
18,33,5,ωντ,long,6
18,33,5,ο.,long,6
18,34,1,τοῖ,long,1
18,34,1,ϊν,long,1
18,34,2,δὲ,long,2
18,34,3,ξυν,short,2
18,34,3,έ,short,2
18,34,3,ηχ’,long,3
18,34,4,ἱ,short,3
18,34,4,ερ,short,3
18,34,4,ὸν,long,4
18,34,5,μέν,short,4
18,34,5,ος,short,4
18,34,6,Ἀντ,long,5
18,34,6,ιν,short,5
18,34,6,ό,short,5
18,34,6,οι,long,6
18,34,6,"ο,",long,6
18,35,1,ἡδ,long,1
18,35,1,ὺ,short,1
18,35,2,δ’ἄρ’,short,1
18,35,3,ἐκγ,long,2
18,35,3,ελ,short,2
18,35,3,άσ,short,2
18,35,3,ας,long,3
18,35,4,μετ,short,3
18,35,4,εφ,short,3
18,35,4,ών,long,4
18,35,4,ει,long,4
18,35,5,μνηστ,long,5
18,35,5,ήρ,long,5
18,35,5,εσσ,long,6
18,35,5,ιν·,long,6
18,36,1,ὧ,long,1
18,36,2,φίλ,short,1
18,36,2,"οι,",short,1
18,36,3,οὐ,long,2
18,36,4,μέν,long,2
18,36,5,πώ,long,3
18,36,6,τι,short,3
18,36,7,πάρ,short,3
18,36,7,ος,long,4
18,36,8,τοι,long,4
18,36,8,οῦτ,long,5
18,36,8,ον,short,5
18,36,9,ἐτ,short,5
18,36,9,ύχθ,long,6
18,36,9,"η,",long,6
18,37,1,οἵ,long,1
18,37,1,ην,long,1
18,37,2,τερπ,long,2
18,37,2,ωλ,long,2
18,37,2,ὴν,long,3
18,37,3,θε,short,3
18,37,3,ὸς,short,3
18,37,4,ἤγ,long,4
18,37,4,αγ,short,4
18,37,4,εν,short,4
18,37,5,ἐς,long,5
18,37,6,τόδ,short,5
18,37,6,ε,short,5
18,37,7,δῶμ,long,6
18,37,7,α.,long,6
18,38,1,ὁ,long,1
18,38,2,ξεῖν,long,1
18,38,2,ός,long,2
18,38,3,τε,short,2
18,38,4,καὶ,short,2
18,38,5,Ἶρ,long,3
18,38,5,ος,short,3
18,38,6,ἐρ,short,3
18,38,6,ίζ,long,4
18,38,6,ετ,short,4
18,38,6,ον,short,4
18,38,7,ἀλλ,long,5
18,38,7,ήλ,long,5
18,38,7,οι,long,6
18,38,7,ϊν,long,6
18,39,1,χερσ,long,1
18,39,1,ὶ,short,1
18,39,2,μαχ,short,1
18,39,2,έσσ,long,2
18,39,2,ασθ,long,2
18,39,2,αι·,long,3
18,39,3,ἀλλ,long,3
18,39,3,ὰ,long,4
18,39,4,ξυν,short,4
18,39,4,ελ,short,4
18,39,4,άσσ,long,5
18,39,4,ομ,short,5
18,39,4,εν,short,5
18,39,5,ὧκ,long,6
18,39,5,α.,long,6
18,40,1,ὣς,long,1
18,40,2,ἔφ,short,1
18,40,2,"αθ’,",short,1
18,40,3,οἱ,long,2
18,40,4,δ’ἄρ,short,2
18,40,4,α,short,2
18,40,5,πάντ,long,3
18,40,5,ες,short,3
18,40,6,ἀν,short,3
18,40,6,ή,long,4
18,40,6,ϊξ,long,4
18,40,6,αν,long,5
18,40,7,γελ,short,5
18,40,7,ό,short,5
18,40,7,ωντ,long,6
18,40,7,"ες,",long,6
18,41,1,ἀμφ,long,1
18,41,1,ὶ,short,1
18,41,2,δ’ἄρ,short,1
18,41,2,α,long,2
18,41,3,πτωχ,long,2
18,41,3,οὺς,long,3
18,41,4,κακ,short,3
18,41,4,ο,short,3
18,41,4,είμ,long,4
18,41,4,ον,short,4
18,41,4,ας,short,4
18,41,5,ἠγ,long,5
18,41,5,ερ,short,5
18,41,5,έθ,short,5
18,41,5,οντ,long,6
18,41,5,ο.,long,6
18,42,1,τοῖσ,long,1
18,42,1,ιν,long,1
18,42,2,δ’Ἀντ,long,2
18,42,2,ίν,short,2
18,42,2,ο,short,2
18,42,2,ος,long,3
18,42,3,μετ,short,3
18,42,3,έφ,short,3
18,42,3,"η,",long,4
18,42,4,Εὐπ,long,4
18,42,4,είθ,long,5
18,42,4,ε,short,5
18,42,4,ος,short,5
18,42,5,υἱ,long,6
18,42,5,ός·,long,6
18,43,1,κέκλ,long,1
18,43,1,υτ,short,1
18,43,1,έ,short,1
18,43,2,"μευ,",long,2
18,43,3,μνηστ,long,2
18,43,3,ῆρ,long,3
18,43,3,ες,short,3
18,43,4,ἀγ,short,3
