Book,Line,Word,Text,Length,Foot
9,1,1,τὸν,long,1
9,1,2,δ’ἀπ,short,1
9,1,2,αμ,short,1
9,1,2,ειβ,long,2
9,1,2,όμ,short,2
9,1,2,εν,short,2
9,1,2,ος,long,3
9,1,3,προσ,short,3
9,1,3,έφ,short,3
9,1,3,η,long,4
9,1,4,πολ,short,4
9,1,4,ύμ,short,4
9,1,4,ητ,long,5
9,1,4,ις,short,5
9,1,5,Ὀδ,short,5
9,1,5,υσσ,long,6
9,1,5,εύς·,long,6
9,2,1,Ἀλκ,long,1
9,2,1,ίν,short,1
9,2,1,ο,short,1
9,2,1,ε,long,2
9,2,2,κρεῖ,long,2
9,2,2,"ον,",long,3
9,2,3,πάντ,long,3
9,2,3,ων,long,4
9,2,4,ἀρ,short,4
9,2,4,ιδ,short,4
9,2,4,είκ,long,5
9,2,4,ετ,short,5
9,2,4,ε,short,5
9,2,5,λα,long,6
9,2,5,"ῶν,",long,6
9,3,1,ἤτ,long,1
9,3,1,οι,long,1
9,3,2,μὲν,long,2
9,3,3,τόδ,short,2
9,3,3,ε,short,2
9,3,4,καλ,long,3
9,3,4,ὸν,short,3
9,3,5,ἀκ,short,3
9,3,5,ου,long,4
9,3,5,έμ,short,4
9,3,5,εν,short,4
9,3,6,ἐστ,long,5
9,3,6,ὶν,short,5
9,3,7,ἀ,short,5
9,3,7,οιδ,long,6
9,3,7,οῦ,long,6
9,4,1,τοι,long,1
9,4,1,οῦδ’,long,1
9,4,2,οἷ,long,2
9,4,2,ος,short,2
9,4,3,ὅδ’,short,2
9,4,4,ἐστ,long,3
9,4,4,"ί,",short,3
9,4,5,θε,short,3
9,4,5,οῖς,long,4
9,4,6,ἐν,short,4
9,4,6,αλ,short,4
9,4,6,ίγκ,long,5
9,4,6,ι,short,5
9,4,6,ος,short,5
9,4,7,αὐδ,long,6
9,4,7,ήν.,long,6
9,5,1,οὐ,long,1
9,5,2,γὰρ,short,1
9,5,3,ἔγ,short,1
9,5,3,ωγ,long,2
9,5,3,έ,short,2
9,5,4,τί,short,2
9,5,5,φημ,long,3
9,5,5,ι,short,3
9,5,6,τέλ,short,3
9,5,6,ος,long,4
9,5,7,χαρ,short,4
9,5,7,ι,short,4
9,5,7,έστ,long,5
9,5,7,ερ,short,5
9,5,7,ον,short,5
9,5,8,εἶν,long,6
9,5,8,αι,long,6
9,6,1,ἢ,long,1
9,6,2,ὅτ’,short,1
9,6,3,ἐ,short,1
9,6,3,ϋφρ,long,2
9,6,3,οσ,short,2
9,6,3,ύν,short,2
9,6,3,η,long,3
9,6,4,μὲν,short,3
9,6,5,ἔχ,short,3
9,6,5,ῃ,long,4
9,6,6,κάτ,short,4
9,6,6,α,short,4
9,6,7,δῆμ,long,5
9,6,7,ον,short,5
9,6,8,ἅπ,short,5
9,6,8,αντ,long,6
9,6,8,"α,",long,6
9,7,1,δαιτ,long,1
9,7,1,υμ,short,1
9,7,1,όν,short,1
9,7,1,ες,long,2
9,7,2,δ’ἀν,short,2
9,7,2,ὰ,short,2
9,7,3,δώμ,long,3
9,7,3,ατ’,short,3
9,7,4,ἀκ,short,3
9,7,4,ου,long,4
9,7,4,άζ,long,4
9,7,4,ωντ,long,5
9,7,4,αι,short,5
9,7,5,ἀ,short,5
9,7,5,οιδ,long,6
9,7,5,οῦ,long,6
9,8,1,ἥμ,long,1
9,8,1,εν,short,1
9,8,1,οι,short,1
9,8,2,ἑξ,long,2
9,8,2,εί,long,2
9,8,2,"ης,",long,3
9,8,3,παρ,short,3
9,8,3,ὰ,short,3
9,8,4,δὲ,long,4
9,8,5,πλήθ,long,4
9,8,5,ωσ,long,5
9,8,5,ι,short,5
9,8,6,τράπ,short,5
9,8,6,εζ,long,6
9,8,6,αι,long,6
9,9,1,σίτ,long,1
9,9,1,ου,long,1
9,9,2,καὶ,long,2
9,9,3,κρει,long,2
9,9,3,"ῶν,",long,3
9,9,4,μέθ,short,3
9,9,4,υ,short,3
9,9,5,δ’ἐκ,long,4
9,9,6,κρητ,long,4
9,9,6,ῆρ,long,5
9,9,6,ος,short,5
9,9,7,ἀφ,short,5
9,9,7,ύσσ,long,6
9,9,7,ων,long,6
9,10,1,οἰν,long,1
9,10,1,οχ,short,1
9,10,1,ό,short,1
9,10,1,ος,long,2
9,10,2,φορ,short,2
9,10,2,έ,short,2
9,10,2,ῃσ,long,3
9,10,2,ι,short,3
9,10,3,καὶ,short,3
9,10,4,ἐγχ,long,4
9,10,4,εί,long,4
9,10,4,ῃ,long,5
9,10,5,δεπ,short,5
9,10,5,ά,short,5
9,10,5,εσσ,long,6
9,10,5,ι·,long,6
9,11,1,τοῦτ,long,1
9,11,1,ό,short,1
9,11,2,τί,short,1
9,11,3,μοι,long,2
9,11,4,κάλλ,long,2
9,11,4,ιστ,long,3
