Book,Line,Word,Text,Length,Foot
1,1,1,ἄνδρ,long,1
1,1,1,α,short,1
1,1,2,μοι,short,1
1,1,3,ἔνν,long,2
1,1,3,επ,short,2
1,1,3,"ε,",short,2
1,1,4,μοῦσ,long,3
1,1,4,"α,",short,3
1,1,5,πολ,short,3
1,1,5,ύτρ,long,4
1,1,5,οπ,short,4
1,1,5,"ον,",short,4
1,1,6,ὃς,long,5
1,1,7,μάλ,short,5
1,1,7,α,short,5
1,1,8,πολλ,long,6
1,1,8,ὰ,long,6
1,2,1,πλάγχθ,long,1
1,2,1,"η,",short,1
1,2,2,ἐπ,short,1
1,2,2,εὶ,long,2
1,2,3,Τροί,long,2
1,2,3,ης,long,3
1,2,4,ἱ,short,3
1,2,4,ερ,short,3
1,2,4,ὸν,long,4
1,2,5,πτολ,short,4
1,2,5,ί,short,4
1,2,5,εθρ,long,5
1,2,5,ον,short,5
1,2,6,ἔπ,short,5
1,2,6,ερσ,long,6
1,2,6,εν·,long,6
1,3,1,πολλ,long,1
1,3,1,ῶν,long,1
1,3,2,δ’ἀνθρ,long,2
1,3,2,ώπ,long,2
1,3,2,ων,long,3
1,3,3,ἴδ,short,3
1,3,3,εν,short,3
1,3,4,ἄστ,long,4
1,3,4,ε,short,4
1,3,4,α,short,4
1,3,5,καὶ,long,5
1,3,6,νό,short,5
1,3,6,ον,short,5
1,3,7,ἔγν,long,6
1,3,7,"ω,",long,6
1,4,1,πολλ,long,1
1,4,1,ὰ,short,1
1,4,2,δ’ὅ,short,1
1,4,3,γ’ἐν,long,2
1,4,4,πόντ,long,2
1,4,4,ῳ,long,3
1,4,5,πάθ,short,3
1,4,5,εν,short,3
1,4,6,ἄλγ,long,4
1,4,6,ε,short,4
1,4,6,α,short,4
1,4,7,ὃν,long,5
1,4,8,κατ,short,5
1,4,8,ὰ,short,5
1,4,9,θυμ,long,6
1,4,9,"όν,",long,6
1,5,1,ἀρν,long,1
1,5,1,ύμ,short,1
1,5,1,εν,short,1
1,5,1,ος,long,2
1,5,2,ἥν,long,2
1,5,3,τε,long,3
1,5,4,ψυχ,long,3
1,5,4,ὴν,long,4
1,5,5,καὶ,long,4
1,5,6,νόστ,long,5
1,5,6,ον,short,5
1,5,7,ἑτ,short,5
1,5,7,αίρ,long,6
1,5,7,ων.,long,6
1,6,1,ἀλλ’,long,1
1,6,2,οὐδ’,long,1
1,6,3,ὣς,long,2
1,6,4,ἑτ,short,2
1,6,4,άρ,short,2
1,6,4,ους,long,3
1,6,5,ἐρρ,long,3
1,6,5,ύσ,long,4
1,6,5,ατ,short,4
1,6,5,"ο,",short,4
1,6,6,ἱ,long,5
1,6,6,έμ,short,5
1,6,6,εν,short,5
1,6,6,ός,long,6
1,6,7,περ·,long,6
1,7,1,αὐτ,long,1
1,7,1,ῶν,long,1
1,7,2,γὰρ,long,2
1,7,3,σφετ,short,2
1,7,3,έρ,short,2
1,7,3,ῃσ,long,3
1,7,3,ιν,short,3
1,7,4,ἀτ,short,3
1,7,4,ασθ,long,4
1,7,4,αλ,short,4
1,7,4,ί,short,4
1,7,4,ῃσ,long,5
1,7,4,ιν,short,5
1,7,5,ὄλ,short,5
1,7,5,οντ,long,6
1,7,5,"ο,",long,6
1,8,1,νήπ,long,1
1,8,1,ι,short,1
1,8,1,"οι,",short,1
1,8,2,οἳ,long,2
1,8,3,κατ,short,2
1,8,3,ὰ,short,2
