Book,Line,Word,Text,Length
23,1,1,γρη,long
23,1,1,ῢς,long
23,1,2,δ’εἰς,long
23,1,3,ὑπ,short
23,1,3,ερ,short
23,1,3,ῷ’,long
23,1,4,ἀν,short
23,1,4,εβ,short
23,1,4,ήσ,long
23,1,4,ετ,short
23,1,4,ο,short
23,1,5,καγχ,long
23,1,5,αλ,short
23,1,5,ό,short
23,1,5,ωσ,long
23,1,5,"α,",long
23,2,1,δεσπ,long
23,2,1,οίν,long
23,2,1,ῃ,long
23,2,2,ἐρ,short
23,2,2,έ,short
23,2,2,ουσ,long
23,2,2,α,short
23,2,3,φίλ,short
23,2,3,ον,long
23,2,4,πόσ,short
23,2,4,ιν,short
23,2,5,ἔνδ,long
23,2,5,ον,short
23,2,6,ἐ,short
23,2,6,όντ,long
23,2,6,α·,long
23,3,1,γούν,long
23,3,1,ατ,short
23,3,1,α,short
23,3,2,δ’ἐρρ,long
23,3,2,ώσ,long
23,3,2,αντ,long
23,3,2,"ο,",short
23,3,3,πόδ,short
23,3,3,ες,long
23,3,4,δ’ὑπ,short
23,3,4,ερ,short
23,3,4,ικτ,long
23,3,4,αίν,long
23,3,4,οντ,long
23,3,4,ο.,long
23,4,1,στῆ,long
23,4,2,δ’ἄρ’,short
23,4,3,ὑπ,short
23,4,3,ὲρ,long
23,4,4,κεφ,short
23,4,4,αλ,short
23,4,4,ῆς,long
23,4,5,καί,long
23,4,6,μιν,long
23,4,7,πρὸς,long
23,4,8,μῦθ,long
23,4,8,ον,short
23,4,9,ἔ,short
23,4,9,ειπ,long
23,4,9,εν·,long
23,5,1,ἔγρ,long
23,5,1,ε,short
23,5,1,"ο,",short
23,5,2,Πην,long
23,5,2,ελ,short
23,5,2,όπ,short
23,5,2,ει,long
23,5,2,"α,",short
23,5,3,φίλ,short
23,5,3,ον,long
23,5,4,τέκ,short
23,5,4,"ος,",short
23,5,5,ὄφρ,long
23,5,5,α,short
23,5,6,ἴδ,short
23,5,6,η,long
23,5,6,αι,long
23,6,1,ὀφθ,long
23,6,1,αλμ,long
23,6,1,οῖσ,long
23,6,1,ι,short
23,6,2,τε,short
23,6,2,οῖσ,long
23,6,2,ι,short
23,6,3,τά,short
23,6,4,τ’ἔλδ,long
23,6,4,ε,short
23,6,4,αι,short
23,6,5,ἤμ,long
23,6,5,ατ,short
23,6,5,α,short
23,6,6,πάντ,long
23,6,6,α.,long
23,7,1,ἦλθ’,long
23,7,2,Ὀδ,short
23,7,2,υσ,short
23,7,2,εὺς,long
23,7,3,καὶ,long
23,7,4,οἶκ,long
23,7,4,ον,short
23,7,5,ἱκ,short
23,7,5,άν,long
23,7,5,ετ,short
23,7,5,"αι,",short
23,7,6,ὀψ,long
23,7,6,έ,short
23,7,7,περ,short
23,7,8,ἐλθ,long
23,7,8,ών.,long
23,8,1,μνηστ,long
23,8,1,ῆρ,long
23,8,1,ας,long
23,8,2,δ’ἔκτ,long
23,8,2,ειν,long
23,8,2,εν,short
23,8,3,ἀγ,short
23,8,3,ήν,long
23,8,3,ορ,short
23,8,3,"ας,",short
23,8,4,οἵ,long
23,8,5,θ’ἑ,short
23,8,5,ὸν,short
23,8,6,οἶκ,long
23,8,6,ον,long
23,9,1,κήδ,long
23,9,1,εσκ,long
23,9,1,ον,long
23,9,2,καὶ,long
23,9,3,κτήμ,long
23,9,3,ατ’,short
