Book,Line,Word,Text,Length
17,1,1,ἦμ,long
17,1,1,ος,long
17,1,2,δ’ἠρ,long
17,1,2,ιγ,short
17,1,2,έν,short
17,1,2,ει,long
17,1,2,α,short
17,1,3,φάν,short
17,1,3,η,long
17,1,4,ῥοδ,short
17,1,4,οδ,short
17,1,4,άκτ,long
17,1,4,υλ,short
17,1,4,ος,short
17,1,5,Ἠ,long
17,1,5,"ώς,",long
17,2,1,δὴ,long
17,2,2,τότ’,short
17,2,3,ἔπ,short
17,2,3,ειθ’,long
17,2,4,ὑπ,short
17,2,4,ὸ,short
17,2,5,ποσσ,long
17,2,5,ὶν,short
17,2,6,ἐδ,short
17,2,6,ήσ,long
17,2,6,ατ,short
17,2,6,ο,short
17,2,7,καλ,long
17,2,7,ὰ,short
17,2,8,πέδ,short
17,2,8,ιλ,long
17,2,8,α,long
17,3,1,Τηλ,long
17,3,1,έμ,short
17,3,1,αχ,short
17,3,1,"ος,",long
17,3,2,φίλ,short
17,3,2,ος,short
17,3,3,υἱ,long
17,3,3,ὸς,short
17,3,4,Ὀδ,short
17,3,4,υσσ,long
17,3,4,ῆ,long
17,3,4,ος,long
17,3,5,θεί,long
17,3,5,οι,long
17,3,5,"ο,",long
17,4,1,εἵλ,long
17,4,1,ετ,short
17,4,1,ο,short
17,4,2,δ’ἄλκ,long
17,4,2,ιμ,short
17,4,2,ον,short
17,4,3,ἔγχ,long
17,4,3,"ος,",short
17,4,4,ὅ,short
17,4,5,οἱ,long
17,4,6,παλ,short
17,4,6,άμ,short
17,4,6,ηφ,long
17,4,6,ιν,short
17,4,7,ἀρ,short
17,4,7,ήρ,long
17,4,7,"ει,",long
17,5,1,ἄστ,long
17,5,1,υδ,short
17,5,1,ε,short
17,5,2,ἱ,long
17,5,2,έμ,short
17,5,2,εν,short
17,5,2,"ος,",long
17,5,3,καὶ,short
17,5,4,ἑ,short
17,5,4,ὸν,long
17,5,5,προσ,short
17,5,5,έ,short
17,5,5,ειπ,long
17,5,5,ε,short
17,5,6,συβ,short
17,5,6,ώτ,long
17,5,6,ην·,long
17,6,1,"ἄττ’,",long
17,6,2,ἤτ,long
17,6,2,οι,long
17,6,3,μὲν,short
17,6,4,ἐγ,short
17,6,4,ὼν,long
17,6,5,εἶμ’,long
17,6,6,ἐς,long
17,6,7,πόλ,short
17,6,7,"ιν,",short
17,6,8,ὄφρ,long
17,6,8,α,short
17,6,9,με,short
17,6,10,μήτ,long
17,6,10,ηρ,long
17,7,1,ὄψ,long
17,7,1,ετ,short
17,7,1,αι·,short
17,7,2,οὐ,long
17,7,3,γάρ,long
17,7,4,μιν,long
17,7,5,πρόσθ,long
17,7,5,εν,long
17,7,6,παύσ,long
17,7,6,εσθ,long
17,7,6,αι,short
17,7,7,ὀ,short
17,7,7,ΐ,long
17,7,7,ω,long
17,8,1,κλαυθμ,long
17,8,1,οῦ,long
17,8,2,τε,long
17,8,3,στυγ,short
17,8,3,ερ,short
17,8,3,οῖ,long
17,8,3,ο,short
17,8,4,γό,short
17,8,4,οι,long
17,8,4,ό,short
17,8,5,τε,short
17,8,6,δακρ,long
17,8,6,υ,short
17,8,6,ό,short
17,8,6,εντ,long
17,8,6,"ος,",long
17,9,1,πρίν,long
17,9,2,γ’αὐτ,long
17,9,2,όν,long
17,9,3,με,short
17,9,4,ἴδ,short
17,9,4,ητ,long
17,9,4,αι·,short
17,9,5,ἀτ,short
17,9,5,ὰρ,long
17,9,6,σοί,long
17,9,7,γ’ὦδ’,long
17,9,8,ἐπ,short
17,9,8,ιτ,short
17,9,8,έλλ,long
17,9,8,ω.,long
17,10,1,τὸν,long
17,10,2,ξεῖν,long
17,10,2,ον,long
17,10,3,δύστ,long
17,10,3,ην,long
17,10,3,ον,short
17,10,4,ἄγ’,short
17,10,5,ἐς,long
17,10,6,πόλ,short
17,10,6,"ιν,",short
17,10,7,ὄφρ’,long
17,10,8,ἂν,short
